,id,pair,cue,target,cond,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
153,2,34,notes,stair,1,write,2,0,1.0,0.05721494,0.3095557987689972,0.06372104585170746,write,0.0
154,2,35,bun,lake,1,bread,2,1,0.0,0.08999329,0.5516564249992371,0.20594047009944916,,0.0
155,2,36,agony,hound,0,,2,1,,0.2622713,,,,
156,2,37,tug,vote,1,rope,2,0,0.0,0.0065951585,0.4677381217479706,0.022620990872383118,push,0.0
157,2,38,wood,fear,0,,2,0,,0.18111432,,,,
158,2,39,yearn,cards,1,want,2,0,1.0,0.06786431,0.44062110781669617,0.2961735725402832,want,0.0
159,2,40,pork,beef,1,pig,2,1,0.0,0.84590256,0.6092718839645386,0.5246337652206421,ppig,0.0
160,2,41,prism,hurry,1,cube,2,0,1.0,-0.036625378,0.36723241209983826,0.15961794555187225,cube,0.0
161,2,42,tired,bored,1,sleep,2,0,1.0,0.7057688,0.5739721059799194,0.42447733879089355,sleep,0.0
162,2,43,yolk,money,0,,2,1,,0.015234128,,,,
163,2,44,slurp,west,1,soup,2,0,1.0,-0.084954344,0.38128891587257385,0.13215866684913635,soup,0.0
164,2,45,rude,dish,1,mean,2,1,1.0,0.18629928,0.45102283358573914,0.25650209188461304,mean,0.0
165,2,46,doze,plus,1,made,2,0,0.0,0.020389317,-0.01891857199370861,0.2535761594772339,sleep,0.0
166,2,47,heavy,duty,1,weight,2,1,1.0,0.492564,0.46201416850090027,0.27246010303497314,weight,0.0
167,2,48,seize,bee,0,,2,1,,0.08214486,,,,
168,2,49,town,god,0,,2,0,,0.2290586,,,,
169,2,50,last,day,0,,2,0,,0.6838184,,,,
170,2,51,force,happy,1,push,2,1,1.0,0.26116312,0.5679544806480408,0.34833231568336487,push,0.0
171,2,52,task,alone,0,,2,1,,0.3995754,,,,
172,2,53,scarf,silk,1,neck,2,1,1.0,0.63188416,0.45629894733428955,0.42852988839149475,neck,0.0
173,2,54,pack,full,1,wolf,2,1,1.0,0.40528598,0.3148472011089325,0.19528809189796448,wolf,0.0
174,2,55,going,there,0,,2,1,,0.7492553,,,,
175,2,56,honor,month,1,medal,2,1,0.0,0.26787153,0.4907603859901428,0.12701448798179626,award,0.0
176,2,57,gin,sharp,0,,2,1,,0.16577865,,,,
177,2,58,royal,hotel,0,,2,1,,0.34354278,,,,
178,2,59,mend,hot,0,,2,0,,0.094790205,,,,
